GroupName	GroupID	GroupORFs
mitochondrion inheritance	GO:0000001	YDL239C YPR131C YOR326W YDL239C YLR370C YOL076W YOL076W YML104C YLR190W YAL048C YNL304W YOR326W YIL138C YHR194W YPR131C YNL304W YFL039C YLR190W YKL013C YLR190W YGR132C YLL001W YIL062C YOR326W YNL079C YOR326W YNL304W YOL009C YOR147W YBR234C YDL006W YAL048C YJR065C YNR035C YDL029W YMR072W YGR231C YDR150W YDL029W YMR275C YIL062C
mitochondrial genome maintenance	GO:0000002	YPR116W YLR059C YMR211W YOL095C YBR192W YLR059C YJL112W YJR118C YHR031C YDL198C YJL143W YDR296W YDR258C YDR296W YDR065W YOR211C YMR302C YLR304C YMR072W YJL063C YBR163W YNL213C YLR355C YER154W YCR028C-A YDL198C YFL036W YLR091W YMR241W YLR355C YGR150C YJR144W YDR077W YFL016C YML061C YER154W YBR163W YMR241W YKL011C YLL006W YHR120W YJL112W YGR144W YDR148C
high affinity zinc uptake transmembrane transporter activity	GO:0000006	YGL255W YGL255W
low-affinity zinc ion transmembrane transporter activity	GO:0000007	YLR130C YLR130C
alpha-1,6-mannosyltransferase activity	GO:0000009	YNR030W YPL050C YML115C YGL038C YJL183W YDR245W YJR075W YGL038C YGL038C YEL036C YPL050C
trans-hexaprenyltranstransferase activity	GO:0000010	YBR003W
vacuole inheritance	GO:0000011	YEL013W YFL039C YHL007C YCL063W YNL298W YGL095C YOR326W YOR326W YNL079C YML001W YCL063W YOR326W YEL013W YNL298W YFL039C YHL007C YOR036W YLR043C YCL063W YCL063W YOR326W YML097C YOR089C YBR097W YGR209C YDR323C YIL138C YGR209C YLR043C YEL013W YDR495C
single-stranded DNA specific endodeoxyribonuclease activity	GO:0000014	YKR056W YPL022W YGL175C YHR164C YER041W YGR258C YGL175C YML095C
phosphopyruvate hydratase complex	GO:0000015	YOR393W YPL281C YGR254W YHR174W YGR254W YMR323W YHR174W
alpha-glucoside transport	GO:0000017	YBR298C MALT MALT MALT
regulation of DNA recombination	GO:0000018	YLR234W
regulation of mitotic recombination	GO:0000019	YIL143C YER171W YNL088W YER171W YOL006C
mitotic spindle elongation	GO:0000022	YHR127W YGR140W YDL064W YOR058C YAL047C YCL029C YKR054C YBL031W YOR058C YJR089W YKR088C
maltose metabolic process	GO:0000023	YBR297W YGR288W YGR289C YBR299W YGR287C YOL157C YGR292W YDL247W YJR160C YJL221C YJL216C YIL172C YBR298C
maltose catabolic process	GO:0000025	MALS YBR299W MALS YGR292W MALS MALS YBR299W MALS
alpha-1,2-mannosyltransferase activity	GO:0000026	YBR015C YDR483W YNL048W YJL186W YOR099W YBR015C YNL048W YOR099W YDR483W
ribosomal large subunit assembly	GO:0000027	YIR012W YIR012W YKL009W YLR221C YLR340W YOR063W YKL021C YIR026C YIR026C YIR026C YKL021C YDR418W YHR088W YLR221C YIR026C YLR448W YLR106C YOL127W YPR102C YGR085C YML073C YGL099W YFL002C YDR060W YLR075W YLR221C YHR066W YCR072C YIR026C YKL021C YDR312W YPL211W YPL131W YLR106C YDR312W YHR197W YLR106C YLL008W YHR066W YHR085W YPL193W YOL080C YKR081C YEL054C YNL182C YFL002C YLR075W YKL009W YKR081C YOL077C
ribosomal small subunit assembly	GO:0000028	YLR167W YCR031C YGR159C YDR447C YHR021C YCL031C YML024W YKL156W YCR031C YGR214W YAL026C YCL031C YBR048W YJL191W YLR048W YDR025W
mannosyltransferase activity	GO:0000030	YCL052C YJL139C YBR205W YDL093W YIL085C YOR099W YKR061W YOR321W YBR199W YBR205W YNL158W YNL158W YBR205W YDL095W YBR004C YGR199W YNL029C YBR199W YAL023C YBR004C YNL029C YBR004C YJR143C YIL085C YNL158W YJR013W YBR161W YPL057C YPL057C YJL139C YKR061W YEL036C YDR483W YBR004C YNL219C YBR161W YPL053C YNL219C YBR004C
mannosylphosphate transferase activity	GO:0000031	YPL053C YPL053C
cell wall mannoprotein biosynthetic process	GO:0000032	YBL006C YDR245W YCL005W-A YER003C YKR061W YOR099W YJL184W YJR075W YDL055C YLR020C YJL139C YDR483W
alpha-1,3-mannosyltransferase activity	GO:0000033	YGL257C YNR059W YBL082C YBL082C YER001W YIL014W
adenine deaminase activity	GO:0000034	YNL141W YNL141W YNL141W
acyl carrier activity	GO:0000036	YKL192C
very long-chain fatty acid metabolic process	GO:0000038	YBR041W YDL015C YDL015C YDL015C YBR041W
low-affinity iron ion transport	GO:0000040	YMR319C
protein targeting to Golgi	GO:0000042	YOR216C YLR309C
autophagic vacuole assembly	GO:0000045	YBL078C YBR217W YLR423C YDR170C YNL223W YBR080C YGL180W YJL178C YNL242W YDL149W YBL058W YBR217W YNR007C
autophagic vacuole fusion	GO:0000046	YOR106W YBR131W
peptidyltransferase activity	GO:0000048	YBL038W YNL005C
tRNA binding	GO:0000049	YGL105W YOR335C YGL211W YDL033C YDL051W YER025W YHR187W YMR312W YKL205W YFL022C YGL211W YGR128C YOL021C YDR283C YHL004W YGL105W YGL105W YOL023W YBL024W YGL105W YPL101W YPR047W YKL205W YOR112W YDL201W YOL021C
