Notes	GroupName	GroupID	GroupORFs
Highlighted by Lydall lab	Telomere related genes	LydallLab	YBR274W YBR136W YDL101C YDR217C YOR033C YOR368W YLR288C YPL194W YER173W YIL009C-A YLR233C TLC1 YLR318W YMR106C YMR284W YDR369C YMR224C YNL250W YBL088C YHR031C YML061C YMR080C YHR077C YGR072W YDR206W
Highlighted by Lydall lab	MTC/RTCs	LydallLab	YBR255W YDR128W YEL033W YGL226W YHR151C YJL123C YKL098W YNL254C YOL138C YOR118W YPL183W-A YBR147W YHR087W 
Highlighted by Lydall lab	Spermidine synthase complex	LydallLab	YKL184W YOL052C YPR069C 
Highlighted by Lydall lab	nuclear telomere cap complex	GO	YBR275C YDL042C YDL220C YDR082W YDR227W YGR099W YLR010C YLR150W YLR442C YLR453C YNL216W
Highlighted by Lydall lab	Accelerated senescence: liq. culture	Chang	YML032C YGL163C YDR076W YDR004W YMR224C YDR369C YHR191C YMR078C YCL016C YMR080C YHR077C YGR072W YJL047C YHR154W YLL002W YDL013W YER116C YPR164W YLR320W YLR418C YGL244W YOR279C YDR310C YJR043C YMR190C YKL113C YPL213W YDR083W YJL115W YBL088C YOR144C YDR174W YBL047C YGL173C YDL118W YKR055W YBL007C YMR179W YML028W
Highlighted by Lydall lab	Accelerated entry into & escape from senescence: liq. culture	Chang	YIL009C?A YBR275C YLR453C
Highlighted by Lydall lab	Normal senescence: liq. culture	Chang	YPR051W YEL053C YCR020C?A YBR274W YPL194W YER173W YOR368W YDR217C YER177W YDR099W YOR025W YMR048W YDR206W YOR202W YIL159W YMR070W YOR033C YMR225C
Highlighted by Lydall lab	Most dissimilar to wild-type senescence curve	Chang	YDR357C YIL167W YBR139W YBL068W YDL194W YOR123C YDR092W YBL059W YNL195C YJR054W YGL062W YHL009C YIL066C YPR130C YBR098W YBR278W YBL029W YJL168C YOR376W YBR276C YOR245C YAR002C-A YBR147W YBR298C YDL104C YHR059W YGL078C YMR037C YGR025W YFL027C YOL065C YER158C YPR123C YGR247W YBR258C YOR274W YBL094C YDR097C YER093C-A YDR494W YGL021W YIL067C YDR042C YOR133W YDR131C YEL040W YNR041C YDR363W-A YOR142W YDR022C YPR198W YPL105C YPL058C YJL048C YDL156W YOR277C YOR248W YBR177C YBL061C YGL086W YDR227W YLR149C YPL022W YBR245C YGL043W YCR089W YJR038C YBR246W YOR111W YBR199W YKR074W YMR041C YNL165W YMR191W YPL270W YKL101W YLL009C YCR037C YIL076W YGR072W YMR106C YER080W YFR040W YIR029W YPL037C YJL152W YBR273C YKL204W YDL113C YOR172W YML060W YER049W YKL133C YDL062W YIL105C YDR191W YML123C YIL092W YFR014C YLR318W YJR069C YAR023C YER074W YCR092C YBR242W YPR129W YOR177C YDL052C YBR263W YGR194C YOR071C YPR158W YDR326C YIL060W YOL067C YCR025C YDR221W YEL010W YBR077C YGL235W YBL042C YOR223W YMR161W YGL096W YMR167W YDL035C YBR022W YBR069C YAL015C YEL048C YML016C YGR050C YJR039W YDL033C YCR031C YJL218W YMR226C YKL157W YIL032C YMR166C YAL051W YDR304C YAL007C YOR107W YGR067C YBR030W YDL026W YPR111W YML018C YHL023C YPL110C YMR172W YNL288W YNL166C YGR078C YOR019W YER114C YDR485C YDR032C YPL109C YDR503C YFR043C YJL178C YDR008C YPR076W YER177W YPL140C YML009c YDL134C YBR285W YOR214C YHL016C YBR099C YBR274W YBL064C YLR289W YDR159W YGR097W YBR231C YDR120C YKL053C-A YOL160W YMR177W YER166W YGL136C YER095W YLR142W YKL017C YPR193C YCR008W YDL199C YLR442C YLR335W YER152C YDR089W YGL214W YLR095C YOR315W YDL240W YNL281W YKL073W YNL183C YDR313C YLR020C YBL095W YOR034C YOR025W YKL117W YHR049C-A YER185W YER075C YCL048W YDR334W YNL081C YOL115W YIL124W YDR005C YGR281W YKL201C YIL011W YPL194W YBR084C-A YOR252W YPR022C YLL026W YHR194W YOR209C YBR289W YDL160C YML111W YDL042C YOL055C YOR033C YDR083W YLR418C YLL044W YNL175C YEL042W YBL088C YAL011W YMR284W YPR084W YGL029W YCL037C YBR036C YNL197C YIL009C-A YOR144C YBR275C YKL113C YLR453C
Highlighted by Lydall lab	Most similar to rad52D senescence curve	Chang	YML032C YGL168W YGL163C YKL048C YDR076W YCL016C YDR004W YGL167C YCR053W YPR069C YBL007C YPR141C YMR224C YDL117W YHL025W YHR191C YNL291C YJR043C YOR297C YDL173W YBR023C YDL183C YBL011W YAL005C YBR218C YBR229C YHR075C YNL250W YDL121C YJR009C YBR223C YNL217W YCR048W YBR072W YAL024C YDL178W YBR034C YDR310C YCR069W YCL040W YBR222C YOL137W YKL102C YBL085W YAL053W YJL101C YDL168W YDL144C YOL093W YER113C
Highlighted by Lydall lab	Most dissimilar to rad52D senescence curve	Chang	YBR077C YAL015C YJL177W YNL292W YDR363W-A YJL152W YGL042C YKR056W YIL076W YMR063W YER093C-A YDL026W YHL007C YPR198W YMR123W YJL046W YGL175C YMR215W YKR065C YDR126W YDR221W YDR326C YLL002W YOL073C YGL226W YDR279W YMR041C YDR447C YOR172W YLL017W YAL051W YGR183C YMR230W YJR069C YNR010W YKL133C YML058W YGR092W YGL149W YOR223W YJL138C YEL013W YBR271W YDR485C YPR130C YER080W YML016C YHL027W YDL134C YGL235W YHR203C YPL110C YLR448W YDR304C YIL092W YPL202C YGL031C YPL226W YBR283C YNL168C YGR205W YDR097C YOR019W YNL299W YIL066C YNL072W YKR095W YMR158C-A YBR276C YJR038C YJL168C YGR118W YLR441C YMR191W YPR050C YMR204C YGR050C YJR039W YBL087C YNL226W YKR024C YBR263W YBR099C YIR023W YNL003C YDL062W YKL157W YMR075W YLR289W YGR194C YNL228W YJR126C YOR221C YHL016C YDR101C YBR245C YKL017C YPL140C YEL048C YPR051W YNL069C YOL104C YLR143W YCR082W YGL096W YOR235W YDR022C YPR111W YKR074W YPR076W YGR067C YLR325C YDR089W YOR071C YER114C YBR231C YHR059W YCR087C-A YDR099W YNL288W YMR172W YML060W YBR177C YJR032W YOL095C YLR095C YMR118C YML018C YDL199C YML090W YHL023C YNL227C YOR275C YCR020C-A YPL109C YDR032C YLR318W YDR227W YDR503C YBR285W YOR183W YER075C YOL108C YBR273C YHR034C YNL281W YPR193C YML129C YKL208W YOL160W YPL270W YIL103W YBL095W YEL053C YPL184C YKL073W YOR214C YCR008W YCL048W YFR043C YLR142W YCR037C YER185W YDL033C YDL240W YER166W YMR226C YDR008C YOR252W YER152C YDR313C YLR435W YPR022C YOR034C YOR315W YNR041C YPL194W YDR334W YLR335W YBR098W YBL094C YPR129W YHR049C-A YOR209C YLR020C YKL117W YDR120C YIL124W YKL053C-A YGL043W YML009c YPR024W YMR167W YDR005C YGR281W YDL052C YMR166C YLR452C YKL201C YOL055C YBL088C YKL101W YDR375C YMR202W YMR177W YEL042W YNL183C YNL081C YBR246W YLL026W YOR025W YGR097W YLL009C YAL011W YDL035C YCR031C YER177W YJL178C YGL214W YLR442C YBR084C-A YLR418C YBR274W YGL078C YOL115W YBR289W YNL175C YML111W YDL042C YGR078C YDL160C YER074W YIL011W YGL136C YOR033C YBL064C YHR194W YPR084W YLL044W YIL009C-A YDR159W YOR144C YKL113C YBR036C YCL037C YBR275C YLR453C YDR083W YMR284W YNL197C YGL029W
Highlighted by Lydall lab	Most similar to rad52D sensecence curve (slow growers)	Chang	YML032C YGL168W YGL163C YKL048C YDR076W YCL016C YDR004W YGL167C YCR053W YPR069C YPR141C YMR224C YDL117W YHL025W YHR191C YJR043C YOR297C YDL173W YDL183C YBL011W YNL250W YJL101C YMR243C YPR173C YCL061C
Highlighted by Lydall lab	Most similar to rif1D senescence curve 	Chang	YBR275C YLR453C YOR144C YKL113C YIL009C-A YAL011W YGL029W YNL197C YBL088C YCL037C YPR084W YBR084C-A YNL175C YEL042W YBR036C YPR022C YOR209C YLL026W YLR418C YCL048W YOR252W YOL055C YBR231C YPL194W YLL044W YPR193C YNL281W YNL183C YBR285W YCR008W YBL095W YBR099C YDR089W YPR111W YLR095C YML111W YOR315W YER185W YKL073W YOL115W YER075C YOL160W YDL240W YGR281W YOR034C YAL007C YER095W YDR083W YBL064C YKL201C YGL096W YMR284W YGL136C YOR025W YCR092C YDR005C YNL081C YIL124W YDR334W YDR032C YDL042C YHR049C-A YBR022W YAL051W YDR313C YKL017C YBR274W YCR031C YPR129W YBR030W YLR020C YKL117W YDL199C YPR076W YDL134C YER152C YNL166C YLR289W YBR242W YPL110C YMR167W YLR142W YOR107W YHL016C YDL113C YBL042C YKL053C-A YOR019W YOR033C YDL156W YJR039W YPR158W YLR335W YDL026W YBR289W YPL270W YGR067C YOR248W YDL160C YPL140C YNL288W YOR214C YAR023C YHL023C YDR485C YHR194W YEL010W YBR069C YDR120C YDR326C YCR025C YBR177C YBR258C YAL015C YER166W YCR089W YMR172W YML123C YBR199W YPL109C YLR318W YGR050C YCR037C YGR078C YMR177W YBR273C YIL060W YBR077C YDR131C YDR304C YOL067C YPL168W YBR278W YGL235W YBR139W YER177W YDR159W YOR223W YFR043C YER114C YOR177C YJL218W YPR029C YDR008C YDL052C YIL011W YMR161W YFR040W YEL048C YMR166C YIL032C YBL059W YPL265W YDR503C YML009c YML018C YML016C YNL292W YAL061W YIL076W YDR221W YPR130C YBL068W YCR082W YOR111W YBR263W YBR051W YDR042C YPR147C YBR246W YFR014C YBR298C YKL157W YPL058C YCR065W YBL061C YJL048C YIL105C YBR147W YOR071C YER049W YPR123C YBR098W YDL033C YNR041C YFL010W-A YBR125C YCR073W-A YBR245C YBL066C YAL004W YPR198W YDL104C YJL178C YCL074W YGR072W YDL066W YPL037C YDL128W YDR227W YOR277C YDR191W YMR226C YDL099W YOR172W YIL092W YBL024W YOL073C YAR002C-A YKL204W YJR069C YNL165W YGR194C YKL133C YBL043W YIR029W YOR142W YPL022W YPL105C YOR165W YML060W YBL046W YDR375C YDR494W YAL042W YBL029W YDL062W YHL009C YCR020C-A YPR157W YBR297W YBL087C YBR071W YDL157C YDL035C YKL101W YBR207W YDR026C YBL091C YOR180C YLR149C YBR068C YGL086W YJL152W YIL136W YDL131W YBL052C YIL067C YMR037C YMR106C
